Type,ID,Next Action,Duration,Pwr/Position,Direction,Distance/x,Intake/y
WaitAction,LEFT,RunLeft,0.01,,,,
PursuitAction,RunLeft,suckInLeft,4,25,-90,39,9
PursuitAction,RunLeft,suckInLeft,4,25,-90,47,49.5
DriveAction,suckInLeft,leftRun,2.5,0.19,0,7,0.7
PursuitAction,leftRun,grab,8,25,-90,40,49.5
PursuitAction,leftRun,grab,8,25,-90,50,37
PursuitAction,leftRun,grab,8,25,-90,84,37
PursuitAction,leftRun,grab,8,25,-180,110,45
WaitAction,CENTER,RunCenter,0.01,,,,
PursuitAction,RunCenter,suckInCenter,4,25,-90,39,9
PursuitAction,RunCenter,suckInCenter,4,25,-90,57,50
DriveAction,suckInCenter,centerRun,4,0.25,0,8,0.7
PursuitAction,centerRun,grab,8,25,-90,49,50
PursuitAction,centerRun,grab,8,25,-90,50,37
PursuitAction,centerRun,grab,8,25,-90,84,37
PursuitAction,centerRun,grab,8,25,-180,110,45
WaitAction,RIGHT,RunRight,0.01,,,,
PursuitAction,RunRight,suckinRight,4,20,-90,39,9
PursuitAction,RunRight,suckinRight,4,20,-45,56,38
DriveAction,suckInRight,RightRun,4,0.2,0,7,0.85
PursuitAction,RightRun,,8,25,-40,60,43
PursuitAction,RightRun,,8,25,-90,60,37
PursuitAction,RightRun,,8,25,-90,84,37
PursuitAction,RightRun,,8,25,-180,110,45
FoundationAction,grab,wait,2,0.19,,,
WaitAction,wait,FoundationMove,1,,,,
PursuitAction,FoundationMove,release,3,25,-180,110,45
PursuitAction,FoundationMove,release,3,25,-90,98,28
PursuitAction,FoundationMove,release,3,25,-90,144,28
FoundationAction,release,Dump,2,0.9,,,
PursuitAction,Dump,eject,4,25,-90,105,28
PursuitAction,Dump,eject,4,25,0,98,37
DriveAction,eject,park,3,0.3,180,16,-0.6
PursuitAction,park,pickPath,3,25,-90,98,29
PursuitAction,park,pickPath,3,25,-90,90,30
PursuitAction,park,pickPath,3,25,-90,60,30
ChangeOutAction,pickPath,leftPositionTwo,0.5,,,,
WaitAction,leftPositionTwo,getLeftTwo,0.01,,,,
PursuitAction,getLeftTwo,turnLeft,4,20,-90,60,20
PursuitAction,getLeftTwo,turnLeft,4,20,-90,16,20
PursuitAction,getLeftTwo,turnLeft,4,20,-90,16,35
TurnAction,turnLeft,intakeLeft,2,0.2,28,,
DriveAction,intakeLeft,travelBackLeft,2.5,0.19,0,7,0.7
PursuitAction,travelBackLeft,ejectTwo,6,20,-90,12,47
PursuitAction,travelBackLeft,ejectTwo,6,20,0,30,40
PursuitAction,travelBackLeft,ejectTwo,6,20,90,40,36
PursuitAction,travelBackLeft,ejectTwo,6,20,90,82,36
WaitAction,centerPositionTwo,getCenterTwo,0.01,,,,
PursuitAction,getCenterTwo,intakeCenter,4,25,-90,60,86
PursuitAction,getCenterTwo,intakeCenter,4,25,-90,30,30
PursuitAction,getCenterTwo,intakeCenter,4,25,-90,28,46
DriveAction,intakeCenter,travelBackCenter,2.5,0.19,0,7,0.7
PursuitAction,travelBackCenter,ejectTwo,6,20,-90,23,46
PursuitAction,travelBackCenter,ejectTwo,6,20,-90,30,40
PursuitAction,travelBackCenter,ejectTwo,6,20,90,40,31
PursuitAction,travelBackCenter,ejectTwo,6,20,90,82,31
WaitAction,rightPositionTwo,spitOut,0.01,,,,
PursuitAction,getRightTwo,intakeRight,4,25,-90,60,35
PursuitAction,getRightTwo,intakeRight,4,25,-90,32,30
PursuitAction,getRightTwo,intakeRight,4,25,-90,32,45
DriveAction,intakeRight,travelBackRight,4,0.2,0,8,0.5
PursuitAction,travelBackRight,ejectTwo,6,25,-90,32,45
PursuitAction,travelBackRight,ejectTwo,6,25,90,45,30
PursuitAction,travelBackRight,ejectTwo,6,25,90,96,30
DriveAction,ejectTwo,Navigate,4,0.5,180,10,-0.7
PursuitAction,Navigate,spitOut,4,25,90,76,36
PursuitAction,Navigate,spitOut,4,25,90,70,40
IntakeAction,spitOut,,1.5,0.5,FALSE,,
